Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Russia,,Moscow,1,1,1995,32.3
Europe,Russia,,Moscow,1,2,1995,31.7
Europe,Russia,,Moscow,1,3,1995,26.8
Europe,Russia,,Moscow,1,4,1995,15.9
Europe,Russia,,Moscow,1,5,1995,23.8
Europe,Russia,,Moscow,1,6,1995,15.3
Europe,Russia,,Moscow,1,7,1995,15.1
Europe,Russia,,Moscow,1,8,1995,18.1
Europe,Russia,,Moscow,1,9,1995,16.0
Europe,Russia,,Moscow,1,10,1995,9.1
Europe,Russia,,Moscow,1,11,1995,20.3
Europe,Russia,,Moscow,1,12,1995,23.9
Europe,Russia,,Moscow,1,13,1995,25.0
Europe,Russia,,Moscow,1,14,1995,22.4
Europe,Russia,,Moscow,1,15,1995,17.4
Europe,Russia,,Moscow,1,16,1995,15.3
Europe,Russia,,Moscow,1,17,1995,9.7
Europe,Russia,,Moscow,1,18,1995,7.6
Europe,Russia,,Moscow,1,19,1995,8.7
Europe,Russia,,Moscow,1,20,1995,8.1
Europe,Russia,,Moscow,1,21,1995,4.8
Europe,Russia,,Moscow,1,22,1995,4.0
Europe,Russia,,Moscow,1,23,1995,11.3
Europe,Russia,,Moscow,1,24,1995,21.6
Europe,Russia,,Moscow,1,25,1995,27.7
Europe,Russia,,Moscow,1,26,1995,28.1
Europe,Russia,,Moscow,1,27,1995,32.7
Europe,Russia,,Moscow,1,28,1995,28.6
Europe,Russia,,Moscow,1,29,1995,27.1
Europe,Russia,,Moscow,1,30,1995,33.6
Europe,Russia,,Moscow,1,31,1995,31.7
Europe,Russia,,Moscow,2,1,1995,16.9
Europe,Russia,,Moscow,2,2,1995,27.3
Europe,Russia,,Moscow,2,3,1995,27.4
Europe,Russia,,Moscow,2,4,1995,18.3
Europe,Russia,,Moscow,2,5,1995,27.0
Europe,Russia,,Moscow,2,6,1995,29.5
Europe,Russia,,Moscow,2,7,1995,31.9
Europe,Russia,,Moscow,2,8,1995,22.5
Europe,Russia,,Moscow,2,9,1995,21.6
Europe,Russia,,Moscow,2,10,1995,20.4
Europe,Russia,,Moscow,2,11,1995,26.2
Europe,Russia,,Moscow,2,12,1995,24.1
Europe,Russia,,Moscow,2,13,1995,28.9
Europe,Russia,,Moscow,2,14,1995,34.0
Europe,Russia,,Moscow,2,15,1995,33.5
Europe,Russia,,Moscow,2,16,1995,32.6
Europe,Russia,,Moscow,2,17,1995,32.1
Europe,Russia,,Moscow,2,18,1995,33.4
Europe,Russia,,Moscow,2,19,1995,33.6
Europe,Russia,,Moscow,2,20,1995,29.4
Europe,Russia,,Moscow,2,21,1995,26.6
Europe,Russia,,Moscow,2,22,1995,32.0
Europe,Russia,,Moscow,2,23,1995,34.9
Europe,Russia,,Moscow,2,24,1995,33.6
Europe,Russia,,Moscow,2,25,1995,33.9
Europe,Russia,,Moscow,2,26,1995,33.7
Europe,Russia,,Moscow,2,27,1995,32.1
Europe,Russia,,Moscow,2,28,1995,28.9
Europe,Russia,,Moscow,3,1,1995,34.9
Europe,Russia,,Moscow,3,2,1995,38.3
Europe,Russia,,Moscow,3,3,1995,37.0
Europe,Russia,,Moscow,3,4,1995,36.8
Europe,Russia,,Moscow,3,5,1995,39.7
Europe,Russia,,Moscow,3,6,1995,38.0
Europe,Russia,,Moscow,3,7,1995,35.4
Europe,Russia,,Moscow,3,8,1995,32.6
Europe,Russia,,Moscow,3,9,1995,34.8
Europe,Russia,,Moscow,3,10,1995,35.9
Europe,Russia,,Moscow,3,11,1995,28.9
Europe,Russia,,Moscow,3,12,1995,17.0
Europe,Russia,,Moscow,3,13,1995,15.3
Europe,Russia,,Moscow,3,14,1995,23.6
Europe,Russia,,Moscow,3,15,1995,25.4
Europe,Russia,,Moscow,3,16,1995,22.7
Europe,Russia,,Moscow,3,17,1995,27.6
Europe,Russia,,Moscow,3,18,1995,28.2
Europe,Russia,,Moscow,3,19,1995,31.7
Europe,Russia,,Moscow,3,20,1995,32.8
Europe,Russia,,Moscow,3,21,1995,36.3
Europe,Russia,,Moscow,3,22,1995,32.4
Europe,Russia,,Moscow,3,23,1995,31.3
Europe,Russia,,Moscow,3,24,1995,36.1
Europe,Russia,,Moscow,3,25,1995,37.3
Europe,Russia,,Moscow,3,26,1995,34.6
Europe,Russia,,Moscow,3,27,1995,31.7
Europe,Russia,,Moscow,3,28,1995,33.4
Europe,Russia,,Moscow,3,29,1995,28.1
Europe,Russia,,Moscow,3,30,1995,31.0
Europe,Russia,,Moscow,3,31,1995,33.6
Europe,Russia,,Moscow,4,1,1995,31.1
Europe,Russia,,Moscow,4,2,1995,30.6
Europe,Russia,,Moscow,4,3,1995,32.6
Europe,Russia,,Moscow,4,4,1995,32.2
Europe,Russia,,Moscow,4,5,1995,33.4
Europe,Russia,,Moscow,4,6,1995,32.7
Europe,Russia,,Moscow,4,7,1995,33.3
Europe,Russia,,Moscow,4,8,1995,35.4
Europe,Russia,,Moscow,4,9,1995,35.9
Europe,Russia,,Moscow,4,10,1995,37.7
